file,PDPGP,PDPSHAGP,SelfCGP,SelfCSHAGP
I.10.7,0.9787480711936951,0.9931603002548218,0.9798267906904221,0.9816062706708908
I.11.19,0.7471669167280197,0.8884457379579545,0.6568847316503524,0.7681113666296006
I.12.1,0.9993773299455643,1.0,0.9993464946746826,1.0
I.12.11,0.8193440121412278,0.9054695934057235,0.8161815124750137,0.8695977854728699
I.12.2,0.8191345691680908,0.8712603932619095,0.7568750041723251,0.7993801146745682
I.12.4,0.769365965127945,0.9221641534566879,0.7282292729616165,0.7347643250226974
I.12.5,0.9994371283054352,1.0,0.9912038868665696,1.0
I.13.12,0.7511499029397964,0.8685883963108063,0.7176304757595062,0.8009056526422501
I.13.4,0.9124092394113541,0.9431047803163528,0.8796226966381073,0.9231396520137787
I.14.3,0.9972677594423294,0.9990272611379624,0.9957541638612747,0.9952629888057709
I.14.4,0.9768115890026092,0.9955295217037201,0.9573585772514344,0.978036578297615
I.15.10,0.983979509472847,0.9875983053445816,0.9824341410398483,0.9834676206111908
I.15.3t,0.9906146752834321,0.9924940431118011,0.9906590378284454,0.9909540772438049
I.15.3x,0.9347142052650451,0.9782202571630478,0.9008542823791504,0.9315853840112687
I.16.6,0.8630572772026062,0.9105292898416519,0.8494363224506378,0.8835711371898651
I.18.12,0.8858424913883209,0.9702376192808151,0.8754711472988128,0.9450906991958619
I.18.14,0.8816066360473633,0.9379546213150024,0.8610451781749725,0.888298152089119
I.18.4,0.7304176300764084,0.9059171307086945,0.6843130564689637,0.8301012492179871
I.24.6,0.9079425263404847,0.9302914267778397,0.87799655854702,0.9004178327322007
I.25.13,0.9992979574203491,1.0,0.9996357262134552,0.9975381904840469
I.26.2,0.9332031244039536,0.9820615100860596,0.9606941395998001,0.9590928095579148
I.27.6,0.8360949474573135,0.8681251031160354,0.7833863973617554,0.8347232329845429
I.29.16,0.4941021108627319,0.7398605740070343,0.5016064190864563,0.7017155343294144
I.29.4,0.9981457561254501,1.0,0.9970006799697876,0.9993447732925415
I.30.3,0.45818451523780823,0.6073943394422531,0.42013010025024417,0.5499730503559113
I.30.5,0.9598108154535293,0.9783953130245209,0.8992360144853592,0.9468170475959777
I.32.17,0.8351523160934449,0.9547078955173492,0.7397274339199066,0.8860328227281571
I.32.5,0.8494527858495712,0.9511788249015808,0.7916367191076279,0.8566945827007294
I.34.1,0.9253401058912277,0.9708830213546753,0.9117137563228607,0.9544863557815552
I.34.14,0.9456789338588715,0.9865835136175156,0.9351531094312668,0.9473241597414017
I.34.27,0.9431920713186264,0.9642672175168991,0.9087908005714417,0.9150349116325378
I.34.8,0.9487540066242218,0.9789859253168106,0.9231044608354568,0.9821785086393356
I.37.4,0.7550199419260025,0.9251182329654694,0.7766561222076416,0.8624491918087006
I.38.12,0.8945100569725036,0.9022135239839554,0.7957684171199798,0.866592383980751
I.39.1,0.9945215493440628,0.9975826841592789,0.9883871442079544,0.9964539217948913
I.39.11,0.9448025768995285,0.9734400951862335,0.9187058997154236,0.9635679185390472
I.39.22,0.9421855056285858,0.9896618491411209,0.9119594287872315,0.9673168182373046
I.40.1,0.5625402212142945,0.6696607148647309,0.5460598754882813,0.5511744624376297
I.41.16,0.8986880946159362,0.9500098317861557,0.8671132832765579,0.899860720038414
I.43.16,0.9444348096847535,0.9849966239929199,0.9189016747474671,0.9708302366733551
I.43.31,0.9987319952249527,0.9991017591953277,0.992893283367157,0.9984085124731064
I.43.43,0.9080195021629334,0.9183771991729737,0.7635726648569107,0.8679532498121262
I.44.4,0.8010842078924179,0.8868160772323609,0.7920076644420624,0.8581273031234741
I.47.23,0.7516727703809738,0.8722433096170426,0.6319297194480896,0.6917904633283615
I.48.20,0.9867173743247986,0.9970954006910324,0.9820292246341705,0.9886403858661652
I.50.26,0.45457965493202207,0.6323022681474686,0.39579432308673856,0.5477931904792785
I.6.2,0.739036500453949,0.7931079965829849,0.7177783417701721,0.7843191468715668
I.6.2a,0.95578453540802,0.9898705768585205,0.9183661824464798,0.9721485149860382
I.6.2b,0.6285545164346695,0.738896690607071,0.5794004708528518,0.64357954621315
I.8.14,0.18710901021957396,0.4413820940256119,0.18012387812137604,0.2641428428888321
I.9.18,0.636166895031929,0.6819019418954849,0.495788437128067,0.5076686638593674
II.10.9,0.9093746691942215,0.9303370988368989,0.8531253147125244,0.8628403466939926
II.11.20,0.8221889406442642,0.936831334233284,0.7287575590610504,0.8763574403524399
II.11.27,0.9582856887578964,0.9861424571275711,0.9476594227552414,0.9678111046552658
II.11.28,0.9098433178663253,0.9834541875123978,0.9014347964525222,0.9665717101097107
II.11.3,0.7543355131149292,0.8465013176202774,0.636074588894844,0.744096714258194
II.11.7,0.5914162373542786,0.6382099360227584,0.5566504603624344,0.5709603559970856
II.13.17,0.6841122370958328,0.885743020772934,0.6826277959346772,0.7997619092464447
