Function,Mean_Reliability,Max_Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.173,0.36,6.08,10,10
Func2,0.317,0.42,9.166,22,22
Func3,0.081,0.37,15.43,22,22
Func4,0.118,0.52,13.191,19,19
Func5,0.121,0.68,23.384,31,31
Func6,0.066,0.48,27.223,37,37
Func7,0.281,0.61,35.162,88,88
Func8,0.105,0.49,30.026,44,44
Func9,0.281,0.58,42.293,126,126
Func10,0.195,0.51,247.684,772,772
Func11,0.109,0.48,20.28,31,31
Func12,0.144,0.44,11.188,16,16
Func13,0.128,0.49,10.692,16,16
