Function,Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.37,6.676,10,10
Func2,0.3,8.067,22,22
Func3,0.37,14.378,22,22
Func4,0.58,12.483,19,19
Func5,0.47,23.809,31,31
Func6,0.15,24.067,37,37
Func7,0.22,26.909,88,88
Func8,0.39,30.128,44,44
Func9,0.2,40.6,126,126
Func10,0.03,216.333,772,772
Func11,0.48,22.292,31,31
Func12,0.37,10.865,16,16
Func13,0.35,11.286,16,16
