Function,Dimensions,Selection,Crossover,Mutation,Reliability
F6,2,tournament_3,one_point,average,0.83
F6,2,tournament_3,one_point,strong,0.0
F6,2,tournament_3,two_point,weak,0.83
F6,2,tournament_3,two_point,average,0.76
F6,2,tournament_3,two_point,strong,0.01
F6,2,tournament_3,uniform_2,weak,0.06
F6,2,tournament_3,uniform_2,average,0.05
F6,2,tournament_3,uniform_2,strong,0.0
F7,2,proportional,one_point,weak,0.28
F7,2,proportional,one_point,average,0.36
F7,2,proportional,one_point,strong,0.22
F7,2,proportional,two_point,weak,0.33
F7,2,proportional,two_point,average,0.3
F7,2,proportional,two_point,strong,0.27
F7,2,proportional,uniform_2,weak,0.36
F7,2,proportional,uniform_2,average,0.31
F7,2,proportional,uniform_2,strong,0.23
F7,2,rank,one_point,weak,0.08
F7,2,rank,one_point,average,0.21
F7,2,rank,one_point,strong,0.35
F7,2,rank,two_point,weak,0.08
F7,2,rank,two_point,average,0.18
F7,2,rank,two_point,strong,0.31
F7,2,rank,uniform_2,weak,0.13
F7,2,rank,uniform_2,average,0.21
F7,2,rank,uniform_2,strong,0.35
F7,2,tournament_3,one_point,weak,0.07
F7,2,tournament_3,one_point,average,0.19
F7,2,tournament_3,one_point,strong,0.31
F7,2,tournament_3,two_point,weak,0.07
F7,2,tournament_3,two_point,average,0.12
F7,2,tournament_3,two_point,strong,0.29
F7,2,tournament_3,uniform_2,weak,0.08
F7,2,tournament_3,uniform_2,average,0.16
F7,2,tournament_3,uniform_2,strong,0.31
F8,2,proportional,one_point,weak,0.36
F8,2,proportional,one_point,average,0.25
F8,2,proportional,one_point,strong,0.04
F8,2,proportional,two_point,weak,0.34
F8,2,proportional,two_point,average,0.22
F8,2,proportional,two_point,strong,0.01
F8,2,proportional,uniform_2,weak,0.22
F8,2,proportional,uniform_2,average,0.13
F8,2,proportional,uniform_2,strong,0.03
F8,2,rank,one_point,weak,0.45
F8,2,rank,one_point,average,0.35
F8,2,rank,one_point,strong,0.02
F8,2,rank,two_point,weak,0.38
F8,2,rank,two_point,average,0.36
F8,2,rank,two_point,strong,0.02
F8,2,rank,uniform_2,weak,0.23
F8,2,rank,uniform_2,average,0.19
F8,2,rank,uniform_2,strong,0.01
F8,2,tournament_3,one_point,weak,0.71
F8,2,tournament_3,one_point,average,0.61
F8,2,tournament_3,one_point,strong,0.0
F8,2,tournament_3,two_point,weak,0.54
F8,2,tournament_3,two_point,average,0.46
F8,2,tournament_3,two_point,strong,0.0
F8,2,tournament_3,uniform_2,weak,0.37
F8,2,tournament_3,uniform_2,average,0.34
F8,2,tournament_3,uniform_2,strong,0.01
F9,2,proportional,one_point,weak,0.04
F9,2,proportional,one_point,average,0.06
F9,2,proportional,one_point,strong,0.23
F9,2,proportional,two_point,weak,0.04
F9,2,proportional,two_point,average,0.08
F9,2,proportional,two_point,strong,0.22
F9,2,proportional,uniform_2,weak,0.03
F9,2,proportional,uniform_2,average,0.1
F9,2,proportional,uniform_2,strong,0.19
F9,2,rank,one_point,weak,0.04
F9,2,rank,one_point,average,0.13
F9,2,rank,one_point,strong,0.04
F9,2,rank,two_point,weak,0.06
F9,2,rank,two_point,average,0.16
F9,2,rank,two_point,strong,0.08
F9,2,rank,uniform_2,weak,0.12
F9,2,rank,uniform_2,average,0.28
F9,2,rank,uniform_2,strong,0.08
F9,2,tournament_3,one_point,weak,0.04
F9,2,tournament_3,one_point,average,0.09
F9,2,tournament_3,one_point,strong,0.13
F9,2,tournament_3,two_point,weak,0.03
F9,2,tournament_3,two_point,average,0.13
F9,2,tournament_3,two_point,strong,0.13
F9,2,tournament_3,uniform_2,weak,0.1
F9,2,tournament_3,uniform_2,average,0.18
F9,2,tournament_3,uniform_2,strong,0.13
F10,2,proportional,one_point,weak,0.01
F10,2,proportional,one_point,average,0.04
F10,2,proportional,one_point,strong,0.16
F10,2,proportional,two_point,weak,0.01
F10,2,proportional,two_point,average,0.02
F10,2,proportional,two_point,strong,0.16
F10,2,proportional,uniform_2,weak,0.0
F10,2,proportional,uniform_2,average,0.02
F10,2,proportional,uniform_2,strong,0.12
F10,2,rank,one_point,weak,0.01
F10,2,rank,one_point,average,0.03
F10,2,rank,one_point,strong,0.16
F10,2,rank,two_point,weak,0.01
F10,2,rank,two_point,average,0.02
F10,2,rank,two_point,strong,0.15
F10,2,rank,uniform_2,weak,0.0
F10,2,rank,uniform_2,average,0.01
F10,2,rank,uniform_2,strong,0.16
F10,2,tournament_3,one_point,weak,0.07
F10,2,tournament_3,one_point,average,0.02
F10,2,tournament_3,one_point,strong,0.14
F10,2,tournament_3,two_point,weak,0.01
F10,2,tournament_3,two_point,average,0.02
F10,2,tournament_3,two_point,strong,0.13
F10,2,tournament_3,uniform_2,weak,0.0
F10,2,tournament_3,uniform_2,average,0.01
F10,2,tournament_3,uniform_2,strong,0.09
F11,2,proportional,one_point,weak,0.03
F11,2,proportional,one_point,average,0.01
F11,2,proportional,one_point,strong,0.0
F11,2,proportional,two_point,weak,0.02
F11,2,proportional,two_point,average,0.0
F11,2,proportional,two_point,strong,0.01
F11,2,proportional,uniform_2,weak,0.02
F11,2,proportional,uniform_2,average,0.01
F11,2,proportional,uniform_2,strong,0.0
F11,2,rank,one_point,weak,0.66
F11,2,rank,one_point,average,0.27
F11,2,rank,one_point,strong,0.02
F11,2,rank,two_point,weak,0.63
F11,2,rank,two_point,average,0.29
F11,2,rank,two_point,strong,0.01
F11,2,rank,uniform_2,weak,0.49
F11,2,rank,uniform_2,average,0.18
F11,2,rank,uniform_2,strong,0.02
F11,2,tournament_3,one_point,weak,0.68
F11,2,tournament_3,one_point,average,0.86
F11,2,tournament_3,one_point,strong,0.05
F11,2,tournament_3,two_point,weak,0.75
F11,2,tournament_3,two_point,average,0.87
F11,2,tournament_3,two_point,strong,0.04
F11,2,tournament_3,uniform_2,weak,0.66
F11,2,tournament_3,uniform_2,average,0.69
F11,2,tournament_3,uniform_2,strong,0.05
F12,2,proportional,one_point,weak,0.1
F12,2,proportional,one_point,average,0.13
F12,2,proportional,one_point,strong,0.04
F12,2,proportional,two_point,weak,0.15
F12,2,proportional,two_point,average,0.16
F12,2,proportional,two_point,strong,0.07
F12,2,proportional,uniform_2,weak,0.17
F12,2,proportional,uniform_2,average,0.12
F12,2,proportional,uniform_2,strong,0.02
F12,2,rank,one_point,weak,0.13
F12,2,rank,one_point,average,0.11
F12,2,rank,one_point,strong,0.04
F12,2,rank,two_point,weak,0.13
F12,2,rank,two_point,average,0.12
F12,2,rank,two_point,strong,0.03
F12,2,rank,uniform_2,weak,0.14
F12,2,rank,uniform_2,average,0.09
F12,2,rank,uniform_2,strong,0.02
F12,2,tournament_3,one_point,weak,0.29
F12,2,tournament_3,one_point,average,0.45
F12,2,tournament_3,one_point,strong,0.07
F12,2,tournament_3,two_point,weak,0.38
F12,2,tournament_3,two_point,average,0.46
F12,2,tournament_3,two_point,strong,0.1
F12,2,tournament_3,uniform_2,weak,0.35
F12,2,tournament_3,uniform_2,average,0.45
F12,2,tournament_3,uniform_2,strong,0.05
F13,2,proportional,one_point,weak,0.11
F13,2,proportional,one_point,average,0.21
F13,2,proportional,one_point,strong,0.05
F13,2,proportional,two_point,weak,0.17
F13,2,proportional,two_point,average,0.21
F13,2,proportional,two_point,strong,0.03
F13,2,proportional,uniform_2,weak,0.19
F13,2,proportional,uniform_2,average,0.16
F13,2,proportional,uniform_2,strong,0.04
F13,2,rank,one_point,weak,0.19
F13,2,rank,one_point,average,0.21
F13,2,rank,one_point,strong,0.02
F13,2,rank,two_point,weak,0.29
F13,2,rank,two_point,average,0.23
F13,2,rank,two_point,strong,0.04
F13,2,rank,uniform_2,weak,0.26
F13,2,rank,uniform_2,average,0.22
F13,2,rank,uniform_2,strong,0.06
F13,2,tournament_3,one_point,weak,0.5
F13,2,tournament_3,one_point,average,0.65
F13,2,tournament_3,one_point,strong,0.11
F13,2,tournament_3,two_point,weak,0.55
F13,2,tournament_3,two_point,average,0.68
F13,2,tournament_3,two_point,strong,0.15
F13,2,tournament_3,uniform_2,weak,0.52
F13,2,tournament_3,uniform_2,average,0.64
F13,2,tournament_3,uniform_2,strong,0.11
