Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
tour3 | up2,0.09,0.03,0.04,0.07,0.13,0.01,0.0,0.02,0.01,0.0,0.0,0.07,0.31,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0436
tour3 | up7,0.04,0.0,0.05,0.04,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.01,0.0,0.0,0.0,0.0,0.044
tour3 | ur2,0.04,0.06,0.15,0.08,0.22,0.0,0.02,0.01,0.02,0.0,0.01,0.16,0.31,0.01,0.21,0.0,0.0,0.01,0.18,0.0,0.34,0.0,0.7,0.01,0.0,0.1016
tour3 | ur7,0.06,0.01,0.07,0.02,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.16,0.0,0.86,0.0,0.0,0.0,0.35,0.0,1.0,0.44,0.78,0.96,0.0,0.1932
tour3 | ut3,0.12,0.07,0.07,0.11,0.16,0.0,0.01,0.0,0.01,0.0,0.01,0.19,0.26,0.0,0.0,0.0,0.0,0.01,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.054000000000000006
tour3 | ut7,0.09,0.04,0.08,0.11,0.15,0.0,0.01,0.0,0.02,0.0,0.0,0.17,0.29,0.0,0.0,0.0,0.0,0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.056799999999999996
tour5 | empty,0.17,0.14,0.45,0.51,0.5,0.5,0.15,0.09,0.32,0.0,0.0,0.24,0.18,0.0,0.0,0.82,0.26,0.01,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.17799999999999996
tour5 | one,0.07,0.23,0.21,0.46,0.54,0.09,0.01,0.01,0.07,0.0,0.0,0.19,0.31,0.0,0.75,1.0,0.99,0.36,0.0,0.31,0.72,0.06,0.39,0.05,0.45,0.29079999999999995
tour5 | two,0.07,0.25,0.15,0.42,0.45,0.0,0.02,0.0,0.01,0.0,0.0,0.15,0.32,0.0,0.95,1.0,0.98,0.49,0.0,0.6,0.97,0.63,0.46,0.8,0.45,0.3667999999999999
tour5 | unif2,0.08,0.05,0.07,0.23,0.18,0.0,0.01,0.0,0.01,0.0,0.0,0.15,0.32,0.01,1.0,0.0,0.0,0.2,0.12,0.0,1.0,1.0,0.59,1.0,0.0,0.24080000000000001
tour5 | unif7,0.0,0.02,0.05,0.04,0.05,0.01,0.02,0.0,0.01,0.0,0.01,0.1,0.17,0.0,1.0,0.0,0.0,0.02,0.16,0.0,1.0,1.0,0.72,1.0,0.0,0.2152
tour5 | up2,0.06,0.07,0.08,0.28,0.29,0.0,0.02,0.01,0.0,0.0,0.0,0.13,0.32,0.0,1.0,0.0,0.0,0.08,0.11,0.0,1.0,1.0,0.55,1.0,0.0,0.23999999999999996
tour5 | up7,0.04,0.04,0.03,0.06,0.06,0.0,0.01,0.0,0.01,0.0,0.0,0.08,0.18,0.0,1.0,0.0,0.0,0.0,0.22,0.0,1.0,1.0,0.67,1.0,0.0,0.21600000000000003
tour5 | ur2,0.06,0.1,0.19,0.3,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.2,0.36,0.0,1.0,0.21,0.0,0.15,0.1,0.0,1.0,1.0,0.57,1.0,0.01,0.26039999999999996
tour5 | ur7,0.03,0.02,0.02,0.09,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.0,1.0,0.0,0.0,0.02,0.23,0.0,1.0,1.0,0.68,1.0,0.0,0.22039999999999998
tour5 | ut3,0.09,0.16,0.16,0.27,0.19,0.0,0.05,0.01,0.0,0.0,0.0,0.14,0.31,0.0,0.97,0.02,0.0,0.14,0.08,0.0,1.0,1.0,0.58,1.0,0.02,0.24760000000000001
tour5 | ut7,0.07,0.09,0.13,0.25,0.17,0.0,0.08,0.0,0.02,0.0,0.0,0.2,0.29,0.0,1.0,0.0,0.0,0.12,0.1,0.0,1.0,1.0,0.56,1.0,0.0,0.2432
tour7 | empty,0.09,0.14,0.38,0.49,0.48,0.44,0.14,0.08,0.33,0.01,0.0,0.14,0.16,0.0,0.0,0.91,0.3,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.11,0.17280000000000004
tour7 | one,0.06,0.26,0.31,0.52,0.54,0.17,0.03,0.0,0.13,0.0,0.01,0.17,0.23,0.0,0.99,1.0,1.0,0.27,0.0,0.33,1.0,0.91,0.43,0.94,0.53,0.39319999999999994
tour7 | two,0.13,0.27,0.23,0.51,0.51,0.03,0.07,0.01,0.03,0.0,0.0,0.1,0.33,0.0,1.0,1.0,1.0,0.41,0.0,0.5,1.0,1.0,0.4,1.0,0.45,0.3992
tour7 | unif2,0.04,0.08,0.18,0.35,0.34,0.0,0.01,0.0,0.01,0.0,0.0,0.22,0.31,0.0,1.0,0.95,0.01,0.13,0.08,0.0,1.0,1.0,0.56,1.0,0.05,0.29279999999999995
tour7 | unif7,0.08,0.06,0.07,0.11,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.31,0.0,1.0,0.0,0.0,0.03,0.1,0.0,1.0,1.0,0.57,1.0,0.0,0.21960000000000002
tour7 | up2,0.09,0.1,0.18,0.37,0.31,0.0,0.03,0.0,0.03,0.0,0.0,0.14,0.33,0.0,1.0,0.93,0.0,0.13,0.03,0.0,1.0,1.0,0.35,1.0,0.06,0.28319999999999995
tour7 | up7,0.03,0.08,0.02,0.17,0.14,0.0,0.01,0.0,0.0,0.0,0.01,0.06,0.3,0.0,1.0,0.0,0.0,0.0,0.14,0.0,1.0,1.0,0.57,1.0,0.0,0.2212
tour7 | ur2,0.17,0.14,0.17,0.47,0.4,0.0,0.09,0.01,0.01,0.02,0.0,0.19,0.38,0.0,1.0,1.0,0.02,0.12,0.02,0.0,1.0,1.0,0.4,1.0,0.13,0.3096
tour7 | ur7,0.06,0.07,0.05,0.05,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.32,0.0,1.0,0.0,0.0,0.02,0.16,0.0,1.0,1.0,0.67,1.0,0.0,0.22440000000000002
tour7 | ut3,0.07,0.16,0.2,0.4,0.37,0.01,0.28,0.0,0.03,0.0,0.01,0.23,0.35,0.01,1.0,0.98,0.04,0.16,0.02,0.02,1.0,1.0,0.32,1.0,0.14,0.31199999999999994
tour7 | ut7,0.09,0.15,0.2,0.34,0.38,0.0,0.39,0.0,0.1,0.0,0.0,0.18,0.32,0.0,1.0,1.0,0.01,0.17,0.04,0.0,1.0,1.0,0.47,1.0,0.12,0.3184
