Function,Pop_Size,Iters,fitness,generation_found
F12,250,200,5.0,145
F12,250,200,5.0,113
F12,250,200,5.0,132
F12,250,200,5.0,111
F12,250,200,5.0,79
F12,250,200,5.0,166
F12,250,200,5.0,124
F12,250,200,5.0,78
F12,250,200,5.0,118
F12,250,200,5.0,129
F12,250,200,5.0,100
F12,250,200,5.0,117
F12,250,200,5.0,82
F12,250,200,5.0,83
F12,250,200,5.0,115
F12,250,200,5.0,150
F12,250,200,5.0,126
F12,250,200,5.0,107
F12,250,200,5.0,120
F12,250,200,5.0,146
F12,250,200,5.0,81
F12,250,200,5.0,112
F12,250,200,5.0,103
F12,250,200,5.0,113
F12,250,200,5.0,75
F12,250,200,5.0,121
F12,250,200,5.0,142
F12,250,200,5.0,61
F12,250,200,5.0,88
F12,250,200,5.0,125
F12,250,200,5.0,77
F12,250,200,5.0,145
F12,250,200,5.0,126
F12,250,200,5.0,91
F12,250,200,5.0,72
F12,250,200,5.0,105
F12,250,200,5.0,95
F12,250,200,5.0,93
F12,250,200,5.0,139
F12,250,200,5.0,105
F12,250,200,5.0,132
F12,250,200,5.0,117
F12,250,200,5.0,148
F12,250,200,5.0,97
F12,250,200,5.0,58
F12,250,200,5.0,110
F12,250,200,5.0,118
F12,250,200,5.0,71
F12,250,200,5.0,99
F12,250,200,5.0,115
F12,250,200,5.0,123
F12,250,200,5.0,88
F12,250,200,5.0,41
F12,250,200,5.0,104
F12,250,200,5.0,123
F12,250,200,5.0,115
F12,250,200,5.0,113
F12,250,200,5.0,106
F12,250,200,5.0,121
F12,250,200,5.0,132
F12,250,200,5.0,78
F12,250,200,5.0,68
F13,250,200,30.0,7
F13,250,200,30.0,5
F13,250,200,30.0,7
F13,250,200,30.0,6
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,6
F13,250,200,30.0,8
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,3
F13,250,200,30.0,6
F13,250,200,30.0,3
F13,250,200,30.0,3
F13,250,200,30.0,4
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,8
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,4
F13,250,200,30.0,5
F13,250,200,30.0,9
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,4
F13,250,200,30.0,3
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,4
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,4
F13,250,200,30.0,6
F13,250,200,30.0,6
F13,250,200,30.0,6
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,7
F13,250,200,30.0,6
F13,250,200,30.0,3
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,4
F13,250,200,30.0,8
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,7
F13,250,200,30.0,4
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,8
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,5
F13,250,200,30.0,6
F13,250,200,30.0,8
F13,250,200,30.0,4
F13,250,200,30.0,7
F13,250,200,30.0,9
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,7
F13,250,200,30.0,4
F13,250,200,30.0,5
F13,250,200,30.0,8
F13,250,200,30.0,5
F13,250,200,30.0,4
F13,250,200,30.0,6
F13,250,200,30.0,7
F13,250,200,30.0,8
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,6
F13,250,200,30.0,6
F13,250,200,30.0,5
F13,250,200,30.0,5
F13,250,200,30.0,6
F13,250,200,30.0,3
F13,250,200,30.0,8
F13,250,200,30.0,6
F14,250,200,30.0,10
F14,250,200,30.0,12
F14,250,200,30.0,11
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,9
F14,250,200,30.0,12
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,10
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,6
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,8
F14,250,200,30.0,9
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,10
F14,250,200,30.0,13
F14,250,200,30.0,10
F14,250,200,30.0,3
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,10
F14,250,200,30.0,10
F14,250,200,30.0,10
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,9
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,11
F14,250,200,30.0,9
F14,250,200,30.0,8
F14,250,200,30.0,8
F14,250,200,30.0,7
F14,250,200,30.0,9
F14,250,200,30.0,10
F14,250,200,30.0,12
F14,250,200,30.0,12
F14,250,200,30.0,13
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,8
F14,250,200,30.0,7
F14,250,200,30.0,12
F14,250,200,30.0,10
F14,250,200,30.0,8
F14,250,200,30.0,6
F14,250,200,30.0,12
F14,250,200,30.0,7
F14,250,200,30.0,8
F14,250,200,30.0,5
F14,250,200,30.0,6
F14,250,200,30.0,8
F14,250,200,30.0,10
F14,250,200,30.0,8
F14,250,200,30.0,10
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,8
F14,250,200,30.0,8
F14,250,200,30.0,11
F14,250,200,30.0,8
F14,250,200,30.0,8
F14,250,200,30.0,11
F14,250,200,30.0,7
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,9
F14,250,200,30.0,10
F14,250,200,30.0,8
F14,250,200,30.0,7
F14,250,200,30.0,11
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,8
F14,250,200,30.0,8
F14,250,200,30.0,9
F14,250,200,30.0,11
F14,250,200,30.0,11
F14,250,200,30.0,10
F14,250,200,30.0,9
F14,250,200,30.0,10
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,24.8,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,24.4,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,24.6,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,30.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,30.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,19.6,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,30.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
F15,250,200,25.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,20.0,
F15,250,200,25.0,
