Function,Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.32,6.906,10,10
Func2,0.48,12.146,22,22
Func3,0.35,18.629,22,22
Func4,0.42,15.595,19,19
Func5,0.52,24.904,31,31
Func6,0.22,30.091,37,37
Func7,0.71,46.282,88,88
Func8,0.52,35.712,44,44
Func9,0.67,56.657,126,126
Func10,0.99,85.687,772,772
Func11,0.53,24.868,31,31
Func12,0.33,12.061,16,16
Func13,0.44,13.409,16,16
