Function,Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.37,6.892,10,10
Func2,0.61,9.344,22,22
Func3,0.54,16.963,22,22
Func4,0.54,14.481,19,19
Func5,0.8,23.438,31,31
Func6,0.16,31.375,37,37
Func7,0.72,40.583,88,88
Func8,0.63,29.778,44,44
Func9,0.7,55.357,126,126
Func10,1.0,87.38,772,772
Func11,0.71,22.535,31,31
Func12,0.56,11.429,16,16
Func13,0.63,12.032,16,16
