Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
tour3 | up2,0.05,0.04,0.01,0.14,0.09,0.0,0.01,0.0,0.01,0.01,0.0,0.11,0.15,0.0,0.46,0.0,0.0,0.05,0.04,0.01,0.7,0.52,0.5,0.66,0.0,0.14240000000000003
tour3 | up7,0.02,0.02,0.02,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.9,0.0,0.0,0.0,0.15,0.0,1.0,0.99,0.61,1.0,0.0,0.1968
tour3 | ur2,0.06,0.09,0.06,0.2,0.24,0.01,0.02,0.0,0.01,0.0,0.01,0.09,0.24,0.0,0.7,0.0,0.0,0.05,0.04,0.0,0.94,0.9,0.42,0.92,0.0,0.2
tour3 | ur7,0.03,0.06,0.04,0.03,0.07,0.01,0.01,0.0,0.0,0.02,0.0,0.06,0.15,0.0,1.0,0.0,0.0,0.0,0.09,0.0,1.0,1.0,0.65,1.0,0.0,0.2088
tour3 | ut3,0.03,0.09,0.05,0.13,0.18,0.0,0.0,0.01,0.01,0.0,0.0,0.09,0.22,0.0,0.32,0.0,0.0,0.11,0.07,0.0,0.35,0.3,0.5,0.4,0.0,0.1144
tour3 | ut7,0.05,0.07,0.08,0.1,0.05,0.01,0.0,0.01,0.01,0.0,0.0,0.08,0.2,0.0,0.52,0.0,0.0,0.05,0.04,0.0,0.59,0.58,0.5,0.54,0.0,0.13920000000000002
tour5 | empty,0.0,0.12,0.25,0.34,0.33,0.21,0.13,0.05,0.11,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.066
tour5 | one,0.03,0.29,0.28,0.48,0.44,0.16,0.05,0.02,0.1,0.0,0.0,0.1,0.1,0.0,0.38,0.17,0.0,0.13,0.0,0.1,0.17,0.01,0.23,0.01,0.0,0.12999999999999998
tour5 | two,0.01,0.33,0.14,0.41,0.42,0.07,0.03,0.0,0.02,0.0,0.0,0.05,0.08,0.0,0.58,0.32,0.01,0.45,0.0,0.28,0.51,0.21,0.24,0.24,0.0,0.17600000000000002
tour5 | unif2,0.05,0.14,0.1,0.21,0.27,0.01,0.01,0.01,0.0,0.0,0.0,0.04,0.2,0.0,0.95,0.0,0.0,0.13,0.04,0.01,1.0,1.0,0.3,1.0,0.0,0.2188
tour5 | unif7,0.08,0.07,0.01,0.03,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.16,0.0,1.0,0.0,0.0,0.0,0.11,0.0,1.0,1.0,0.67,1.0,0.0,0.2116
tour5 | up2,0.05,0.08,0.07,0.23,0.27,0.0,0.03,0.0,0.02,0.01,0.0,0.08,0.13,0.0,0.95,0.0,0.0,0.06,0.02,0.0,1.0,1.0,0.32,0.99,0.0,0.21240000000000003
tour5 | up7,0.05,0.05,0.03,0.12,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.06,0.11,0.0,1.0,0.0,0.0,0.0,0.03,0.0,1.0,1.0,0.56,1.0,0.0,0.2028
tour5 | ur2,0.06,0.13,0.11,0.42,0.29,0.0,0.01,0.0,0.0,0.0,0.02,0.09,0.21,0.0,0.96,0.0,0.0,0.11,0.0,0.01,1.0,1.0,0.28,0.99,0.0,0.22760000000000002
tour5 | ur7,0.05,0.07,0.02,0.07,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.18,0.0,1.0,0.0,0.0,0.03,0.07,0.0,1.0,1.0,0.47,1.0,0.0,0.2036
tour5 | ut3,0.03,0.14,0.1,0.23,0.37,0.0,0.04,0.0,0.01,0.0,0.01,0.11,0.24,0.0,0.89,0.0,0.0,0.1,0.02,0.02,0.99,1.0,0.3,0.99,0.0,0.2236
tour5 | ut7,0.03,0.18,0.11,0.32,0.26,0.0,0.01,0.01,0.01,0.0,0.0,0.07,0.26,0.0,0.93,0.0,0.0,0.11,0.03,0.0,0.98,1.0,0.35,1.0,0.0,0.22639999999999996
tour7 | empty,0.0,0.08,0.22,0.39,0.32,0.2,0.08,0.02,0.18,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06480000000000001
tour7 | one,0.01,0.26,0.14,0.42,0.47,0.19,0.14,0.0,0.15,0.0,0.01,0.02,0.07,0.0,0.76,0.22,0.02,0.18,0.0,0.12,0.5,0.13,0.3,0.18,0.0,0.1716
tour7 | two,0.0,0.29,0.22,0.36,0.42,0.1,0.09,0.0,0.13,0.0,0.0,0.04,0.18,0.01,0.81,0.28,0.01,0.21,0.0,0.3,0.91,0.81,0.26,0.67,0.0,0.244
tour7 | unif2,0.04,0.13,0.16,0.37,0.39,0.01,0.01,0.01,0.0,0.0,0.0,0.15,0.18,0.0,0.98,0.08,0.0,0.09,0.01,0.01,1.0,1.0,0.23,1.0,0.0,0.23399999999999999
tour7 | unif7,0.04,0.09,0.03,0.08,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.25,0.0,1.0,0.0,0.0,0.03,0.04,0.0,1.0,1.0,0.53,1.0,0.0,0.20920000000000002
tour7 | up2,0.05,0.04,0.23,0.29,0.41,0.01,0.05,0.01,0.03,0.01,0.0,0.13,0.13,0.0,0.99,0.1,0.0,0.03,0.01,0.01,1.0,1.0,0.27,0.99,0.0,0.23159999999999997
tour7 | up7,0.03,0.08,0.0,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,1.0,0.0,0.0,0.03,0.12,0.0,1.0,1.0,0.54,1.0,0.0,0.20920000000000002
tour7 | ur2,0.04,0.16,0.13,0.34,0.4,0.02,0.02,0.0,0.02,0.0,0.0,0.11,0.17,0.0,0.99,0.16,0.0,0.03,0.01,0.0,1.0,1.0,0.2,1.0,0.0,0.23199999999999998
tour7 | ur7,0.01,0.11,0.02,0.08,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.0,1.0,0.0,0.0,0.09,0.06,0.0,1.0,1.0,0.41,1.0,0.0,0.20679999999999998
tour7 | ut3,0.03,0.19,0.21,0.48,0.35,0.01,0.05,0.0,0.07,0.0,0.0,0.12,0.17,0.0,0.99,0.15,0.0,0.08,0.02,0.03,1.0,1.0,0.21,1.0,0.0,0.24639999999999998
tour7 | ut7,0.06,0.15,0.18,0.38,0.38,0.02,0.05,0.02,0.05,0.0,0.0,0.12,0.18,0.01,0.96,0.1,0.0,0.04,0.02,0.0,1.0,1.0,0.22,1.0,0.0,0.2376
