Function,Mean_Reliability,Max_Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.383,0.64,6.713,10,10
Func2,0.473,0.61,9.926,22,22
Func3,0.511,0.88,16.992,22,22
Func4,0.567,0.88,14.359,19,19
Func5,0.695,1.0,22.989,31,31
Func6,0.195,0.64,29.084,37,37
Func7,0.6,0.78,41.123,88,88
Func8,0.494,0.77,30.122,44,44
Func9,0.607,0.79,57.694,126,126
Func10,0.979,1.0,103.022,772,772
Func11,0.586,0.9,22.754,31,31
Func12,0.516,0.85,11.816,16,16
Func13,0.544,0.82,11.737,16,16
