Function,Dimensions,K,Reliability,Speed,Range_Left,Range_Right
F1,1,2,0.7,7.97,1.0,15.0
F2,1,2,0.35,9.46,2.0,21.0
F3,2,2,0.82,17.06,6.0,25.0
F4,2,2,0.5,14.22,1.0,20.0
F5,2,2,0.7,22.27,12.0,30.0
F6,2,2,0.83,21.07,10.0,35.0
F7,2,2,0.14,13.07,1.0,38.0
F8,2,2,0.66,21.12,11.0,58.0
F9,2,2,0.03,11.0,8.0,14.0
F10,2,2,0.06,119.67,6.0,259.0
F11,2,2,0.96,20.91,7.0,43.0
F12,2,2,0.54,10.44,2.0,16.0
F13,2,2,0.78,11.74,1.0,18.0
