Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRotatedGriewank,2,650,650,1,87.0
ShiftedRotatedGriewank,2,650,650,1,66.0
ShiftedRotatedGriewank,2,650,650,1,65.0
ShiftedRotatedGriewank,2,650,650,1,71.0
ShiftedRotatedGriewank,2,650,650,1,58.0
ShiftedRotatedGriewank,2,650,650,1,69.0
ShiftedRotatedGriewank,2,650,650,1,50.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,43.0
ShiftedRotatedGriewank,2,650,650,1,70.0
ShiftedRotatedGriewank,2,650,650,1,74.0
ShiftedRotatedGriewank,2,650,650,1,102.0
ShiftedRotatedGriewank,2,650,650,1,65.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,99.0
ShiftedRotatedGriewank,2,650,650,1,74.0
ShiftedRotatedGriewank,2,650,650,1,48.0
ShiftedRotatedGriewank,2,650,650,1,79.0
ShiftedRotatedGriewank,2,650,650,1,96.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,57.0
ShiftedRotatedGriewank,2,650,650,1,97.0
ShiftedRotatedGriewank,2,650,650,1,50.0
ShiftedRotatedGriewank,2,650,650,1,65.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,144.0
ShiftedRotatedGriewank,2,650,650,1,36.0
ShiftedRotatedGriewank,2,650,650,1,79.0
ShiftedRotatedGriewank,2,650,650,1,49.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,69.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,74.0
ShiftedRotatedGriewank,2,650,650,1,82.0
ShiftedRotatedGriewank,2,650,650,1,32.0
ShiftedRotatedGriewank,2,650,650,1,54.0
ShiftedRotatedGriewank,2,650,650,1,69.0
ShiftedRotatedGriewank,2,650,650,1,84.0
ShiftedRotatedGriewank,2,650,650,1,45.0
ShiftedRotatedGriewank,2,650,650,1,95.0
ShiftedRotatedGriewank,2,650,650,1,44.0
ShiftedRotatedGriewank,2,650,650,1,79.0
ShiftedRotatedGriewank,2,650,650,1,63.0
ShiftedRotatedGriewank,2,650,650,1,49.0
ShiftedRotatedGriewank,2,650,650,1,51.0
ShiftedRotatedGriewank,2,650,650,1,81.0
ShiftedRotatedGriewank,2,650,650,1,95.0
ShiftedRotatedGriewank,2,650,650,1,71.0
ShiftedRotatedGriewank,2,650,650,1,54.0
ShiftedRotatedGriewank,2,650,650,1,67.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,78.0
ShiftedRotatedGriewank,2,650,650,1,86.0
ShiftedRotatedGriewank,2,650,650,1,85.0
ShiftedRotatedGriewank,2,650,650,1,62.0
ShiftedRotatedGriewank,2,650,650,1,75.0
ShiftedRotatedGriewank,2,650,650,1,53.0
ShiftedRotatedGriewank,2,650,650,1,50.0
ShiftedRotatedGriewank,2,650,650,1,54.0
ShiftedRotatedGriewank,2,650,650,1,20.0
ShiftedRotatedGriewank,2,650,650,1,120.0
ShiftedRotatedGriewank,2,650,650,1,49.0
ShiftedRotatedGriewank,2,650,650,1,48.0
ShiftedRotatedGriewank,2,650,650,1,60.0
ShiftedRotatedGriewank,2,650,650,1,85.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,14.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,48.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,26.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,34.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,26.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,63.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,39.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,29.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,20.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,22.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,21.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,20.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,66.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,78.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,35.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,24.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,13.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,5.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,69.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,56.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,32.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,57.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,35.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,11.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,31.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,44.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,26.0
