Function,Dimensions,k_loc_i,k_scale_range_i,Reliability,Speed,Range_Left,Range_Right
F3,2,3.5,6.15,0.63,17.95,9.0,25.0
F3,2,3.5,7.65,0.55,18.38,8.0,25.0
F3,2,6.5,0.15,0.58,18.28,2.0,25.0
F3,2,6.5,1.65,0.67,17.43,7.0,25.0
F3,2,6.5,3.15,0.7,18.01,7.0,25.0
F3,2,6.5,4.65,0.62,18.42,7.0,25.0
F3,2,6.5,6.15,0.72,17.82,9.0,25.0
F3,2,6.5,7.65,0.71,17.85,5.0,25.0
F3,2,9.5,0.15,0.57,18.65,8.0,25.0
F3,2,9.5,1.65,0.6,17.67,9.0,25.0
F3,2,9.5,3.15,0.62,17.82,2.0,25.0
F3,2,9.5,4.65,0.58,18.66,7.0,25.0
F3,2,9.5,6.15,0.62,18.21,7.0,25.0
F3,2,9.5,7.65,0.57,18.25,5.0,25.0
F3,2,12.5,0.15,0.65,17.65,6.0,25.0
F3,2,12.5,1.65,0.61,17.7,5.0,25.0
F3,2,12.5,3.15,0.49,18.65,6.0,25.0
F3,2,12.5,4.65,0.71,17.69,5.0,25.0
F3,2,12.5,6.15,0.54,17.17,7.0,25.0
F3,2,12.5,7.65,0.69,18.51,8.0,25.0
F3,2,15.5,0.15,0.57,17.0,4.0,25.0
F3,2,15.5,1.65,0.63,18.32,8.0,25.0
F3,2,15.5,3.15,0.56,18.09,7.0,25.0
F3,2,15.5,4.65,0.72,18.01,6.0,25.0
F3,2,15.5,6.15,0.68,17.35,7.0,25.0
F3,2,15.5,7.65,0.61,18.36,6.0,25.0
F3,2,18.5,0.15,0.6,18.98,6.0,25.0
F3,2,18.5,1.65,0.68,19.22,5.0,25.0
F3,2,18.5,3.15,0.59,16.93,5.0,25.0
F3,2,18.5,4.65,0.48,18.69,7.0,25.0
F3,2,18.5,6.15,0.65,17.86,9.0,25.0
F3,2,18.5,7.65,0.63,17.89,3.0,25.0
F4,2,0.5,0.15,0.58,14.97,7.0,20.0
F4,2,0.5,1.65,0.49,15.0,7.0,20.0
F4,2,0.5,3.15,0.52,14.58,4.0,20.0
F4,2,0.5,4.65,0.64,14.69,4.0,20.0
F4,2,0.5,6.15,0.62,14.06,1.0,20.0
F4,2,0.5,7.65,0.49,14.73,8.0,20.0
F4,2,3.5,0.15,0.6,14.73,6.0,20.0
F4,2,3.5,1.65,0.42,14.24,6.0,19.0
F4,2,3.5,3.15,0.52,13.42,4.0,20.0
F4,2,3.5,4.65,0.51,13.61,3.0,20.0
F4,2,3.5,6.15,0.51,14.24,4.0,20.0
F4,2,3.5,7.65,0.54,13.78,2.0,20.0
F4,2,6.5,0.15,0.52,13.87,5.0,20.0
F4,2,6.5,1.65,0.61,14.08,6.0,20.0
F4,2,6.5,3.15,0.53,14.04,3.0,20.0
F4,2,6.5,4.65,0.55,14.45,5.0,20.0
F4,2,6.5,6.15,0.52,15.08,4.0,20.0
F4,2,6.5,7.65,0.55,13.4,5.0,20.0
F4,2,9.5,0.15,0.58,13.47,5.0,20.0
F4,2,9.5,1.65,0.53,14.62,4.0,20.0
F4,2,9.5,3.15,0.5,14.58,3.0,20.0
F4,2,9.5,4.65,0.56,13.27,4.0,20.0
F4,2,9.5,6.15,0.57,14.53,6.0,20.0
F4,2,9.5,7.65,0.59,14.25,1.0,20.0
F4,2,12.5,0.15,0.58,14.97,4.0,20.0
F4,2,12.5,1.65,0.57,13.91,5.0,20.0
F4,2,12.5,3.15,0.53,14.34,3.0,20.0
F4,2,12.5,4.65,0.52,14.4,3.0,20.0
F4,2,12.5,6.15,0.56,14.25,4.0,20.0
F4,2,12.5,7.65,0.53,14.13,5.0,20.0
F4,2,15.5,0.15,0.59,14.02,3.0,20.0
F4,2,15.5,1.65,0.45,14.0,5.0,20.0
F4,2,15.5,3.15,0.66,13.91,5.0,20.0
F4,2,15.5,4.65,0.65,14.31,6.0,20.0
F4,2,15.5,6.15,0.58,14.33,5.0,20.0
F4,2,15.5,7.65,0.47,13.98,5.0,20.0
F4,2,18.5,0.15,0.52,13.9,2.0,20.0
F4,2,18.5,1.65,0.43,14.09,5.0,20.0
F4,2,18.5,3.15,0.61,14.57,4.0,20.0
F4,2,18.5,4.65,0.47,15.62,3.0,20.0
F4,2,18.5,6.15,0.63,13.48,3.0,20.0
F4,2,18.5,7.65,0.51,14.08,6.0,20.0
F5,2,0.5,0.15,0.46,22.93,10.0,30.0
F5,2,0.5,1.65,0.62,22.5,10.0,30.0
F5,2,0.5,3.15,0.61,23.84,10.0,30.0
F5,2,0.5,4.65,0.56,23.34,6.0,30.0
F5,2,0.5,6.15,0.6,23.35,13.0,30.0
F5,2,0.5,7.65,0.57,22.7,12.0,30.0
F5,2,3.5,0.15,0.59,21.44,6.0,30.0
F5,2,3.5,1.65,0.67,20.82,9.0,30.0
F5,2,3.5,3.15,0.7,22.87,12.0,30.0
F5,2,3.5,4.65,0.68,21.63,10.0,30.0
F5,2,3.5,6.15,0.65,22.97,12.0,30.0
F5,2,3.5,7.65,0.6,21.73,11.0,30.0
F5,2,6.5,0.15,0.57,21.42,11.0,29.0
F5,2,6.5,1.65,0.58,22.88,10.0,30.0
F5,2,6.5,3.15,0.72,22.4,4.0,30.0
F5,2,6.5,4.65,0.6,22.35,12.0,30.0
F5,2,6.5,6.15,0.55,21.05,7.0,30.0
F5,2,6.5,7.65,0.59,21.59,10.0,30.0
F5,2,9.5,0.15,0.58,21.91,11.0,30.0
F5,2,9.5,1.65,0.54,22.83,10.0,30.0
F5,2,9.5,3.15,0.68,22.43,8.0,30.0
F5,2,9.5,4.65,0.66,22.2,8.0,30.0
F5,2,9.5,6.15,0.67,23.0,10.0,30.0
F5,2,9.5,7.65,0.59,22.85,9.0,30.0
F5,2,12.5,0.15,0.54,22.57,9.0,30.0
F5,2,12.5,1.65,0.62,22.05,9.0,30.0
F5,2,12.5,3.15,0.57,21.58,10.0,29.0
F5,2,12.5,4.65,0.57,22.58,10.0,30.0
F5,2,12.5,6.15,0.63,22.1,8.0,30.0
F5,2,12.5,7.65,0.55,22.71,10.0,30.0
F5,2,15.5,0.15,0.59,22.85,11.0,30.0
F5,2,15.5,1.65,0.62,23.16,11.0,30.0
F5,2,15.5,3.15,0.62,23.84,13.0,30.0
F5,2,15.5,4.65,0.56,21.95,10.0,30.0
F5,2,15.5,6.15,0.59,22.71,11.0,30.0
F5,2,15.5,7.65,0.56,21.59,7.0,30.0
F5,2,18.5,0.15,0.66,22.53,12.0,30.0
F5,2,18.5,1.65,0.46,22.76,9.0,30.0
F5,2,18.5,3.15,0.62,22.77,9.0,30.0
F5,2,18.5,4.65,0.55,22.44,10.0,30.0
F5,2,18.5,6.15,0.57,21.28,9.0,30.0
F5,2,18.5,7.65,0.54,23.26,11.0,30.0
F6,2,0.5,0.15,0.86,36.92,14.0,62.0
F6,2,0.5,1.65,0.89,32.97,9.0,59.0
F6,2,0.5,3.15,0.89,30.46,14.0,49.0
F6,2,0.5,4.65,0.84,29.2,12.0,54.0
F6,2,0.5,6.15,0.83,26.02,9.0,66.0
F6,2,0.5,7.65,0.79,25.81,8.0,57.0
F6,2,3.5,0.15,0.79,24.62,8.0,55.0
F6,2,3.5,1.65,0.88,25.11,12.0,50.0
F6,2,3.5,3.15,0.84,24.77,10.0,51.0
F6,2,3.5,4.65,0.8,25.36,13.0,41.0
F6,2,3.5,6.15,0.82,24.78,12.0,39.0
F6,2,3.5,7.65,0.79,24.48,10.0,66.0
F6,2,6.5,0.15,0.85,24.67,13.0,67.0
