Function,Dimensions,k_loc_i,k_scale_range_i,Reliability,Speed,Range_Left,Range_Right
F12,2,6.5,0.15,0.33,11.42,2.0,16.0
F12,2,6.5,1.65,0.52,10.75,2.0,16.0
F12,2,6.5,3.15,0.47,11.57,4.0,16.0
F12,2,6.5,4.65,0.45,11.13,4.0,16.0
F12,2,6.5,6.15,0.53,10.62,3.0,16.0
F12,2,6.5,7.65,0.39,11.05,3.0,16.0
F12,2,9.5,0.15,0.48,11.77,5.0,16.0
F12,2,9.5,1.65,0.44,11.32,3.0,16.0
F12,2,9.5,3.15,0.5,11.2,3.0,16.0
F12,2,9.5,4.65,0.42,11.81,3.0,16.0
F12,2,9.5,6.15,0.48,11.54,4.0,16.0
F12,2,9.5,7.65,0.4,11.2,6.0,16.0
F12,2,12.5,0.15,0.46,12.33,6.0,16.0
F12,2,12.5,1.65,0.44,11.98,6.0,16.0
F12,2,12.5,3.15,0.39,10.77,2.0,16.0
F12,2,12.5,4.65,0.45,12.29,5.0,16.0
F12,2,12.5,6.15,0.46,11.67,5.0,16.0
F12,2,12.5,7.65,0.41,11.51,1.0,16.0
F12,2,15.5,0.15,0.44,12.11,4.0,16.0
F12,2,15.5,1.65,0.45,11.78,5.0,16.0
F12,2,15.5,3.15,0.48,12.25,6.0,16.0
F12,2,15.5,4.65,0.5,11.04,4.0,16.0
F12,2,15.5,6.15,0.42,11.36,5.0,16.0
F12,2,15.5,7.65,0.41,11.39,1.0,16.0
F12,2,18.5,0.15,0.46,11.65,5.0,16.0
F12,2,18.5,1.65,0.44,12.36,6.0,16.0
F12,2,18.5,3.15,0.43,11.63,4.0,16.0
F12,2,18.5,4.65,0.33,11.45,5.0,16.0
F12,2,18.5,6.15,0.41,10.51,1.0,16.0
F12,2,18.5,7.65,0.53,11.19,5.0,16.0
F13,2,0.5,0.15,0.62,12.97,5.0,18.0
F13,2,0.5,1.65,0.59,11.64,2.0,18.0
F13,2,0.5,3.15,0.64,10.86,2.0,18.0
F13,2,0.5,4.65,0.6,12.2,2.0,18.0
F13,2,0.5,6.15,0.65,12.42,3.0,18.0
F13,2,0.5,7.65,0.6,12.7,2.0,18.0
F13,2,3.5,0.15,0.64,12.91,5.0,18.0
F13,2,3.5,1.65,0.63,12.33,4.0,18.0
F13,2,3.5,3.15,0.67,11.63,4.0,18.0
F13,2,3.5,4.65,0.63,12.17,5.0,18.0
F13,2,3.5,6.15,0.7,12.53,4.0,18.0
F13,2,3.5,7.65,0.67,12.04,3.0,18.0
F13,2,6.5,0.15,0.65,12.02,3.0,18.0
F13,2,6.5,1.65,0.65,11.29,4.0,18.0
F13,2,6.5,3.15,0.64,12.17,1.0,18.0
F13,2,6.5,4.65,0.59,12.53,5.0,18.0
F13,2,6.5,6.15,0.7,11.89,4.0,18.0
F13,2,6.5,7.65,0.67,11.87,3.0,18.0
F13,2,9.5,0.15,0.6,11.92,2.0,18.0
F13,2,9.5,1.65,0.73,12.63,4.0,18.0
F13,2,9.5,3.15,0.62,13.79,5.0,18.0
F13,2,9.5,4.65,0.73,12.0,2.0,18.0
F13,2,9.5,6.15,0.56,12.75,5.0,18.0
F13,2,9.5,7.65,0.64,11.78,2.0,18.0
F13,2,12.5,0.15,0.72,11.88,4.0,18.0
F13,2,12.5,1.65,0.69,12.03,4.0,18.0
F13,2,12.5,3.15,0.6,12.2,3.0,18.0
F13,2,12.5,4.65,0.62,12.69,6.0,18.0
F13,2,12.5,6.15,0.65,12.71,4.0,18.0
F13,2,12.5,7.65,0.62,11.6,4.0,18.0
F13,2,15.5,0.15,0.59,12.1,3.0,18.0
F13,2,15.5,1.65,0.67,11.57,5.0,18.0
F13,2,15.5,3.15,0.7,13.0,3.0,18.0
F13,2,15.5,4.65,0.69,13.26,3.0,18.0
F13,2,15.5,6.15,0.61,11.44,2.0,18.0
F13,2,15.5,7.65,0.59,12.24,4.0,18.0
F13,2,18.5,0.15,0.63,11.89,2.0,18.0
F13,2,18.5,1.65,0.71,12.11,3.0,18.0
F13,2,18.5,3.15,0.61,12.51,5.0,18.0
F13,2,18.5,4.65,0.69,11.94,5.0,18.0
F13,2,18.5,6.15,0.66,12.47,5.0,18.0
F13,2,18.5,7.65,0.61,11.92,5.0,18.0
