Function,Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.12,6.167,10,10
Func2,0.3,10.567,22,22
Func3,0.04,19.0,22,22
Func4,0.09,14.333,19,19
Func5,0.06,20.333,31,31
Func6,0.0,,37,37
Func7,0.2,35.45,88,88
Func8,0.0,,44,44
Func9,0.25,33.16,126,126
Func10,0.1,444.0,772,772
Func11,0.04,22.5,31,31
Func12,0.2,11.45,16,16
Func13,0.19,11.474,16,16
