Function,Dimensions,K,Reliability,Speed,Range_Left,Range_Right
F1,1,2,0.79,8.3,1.0,15.0
F2,1,2,0.35,7.74,1.0,19.0
F3,2,2,0.74,17.7,2.0,25.0
F4,2,2,0.7,14.03,4.0,20.0
F5,2,2,0.72,20.88,10.0,30.0
F6,2,2,0.3,24.57,8.0,64.0
F7,2,2,0.11,13.45,4.0,48.0
F8,2,2,0.54,18.67,11.0,37.0
F9,2,2,0.06,10.33,3.0,23.0
F10,2,2,0.04,131.75,5.0,302.0
F11,2,2,0.92,21.61,9.0,45.0
F12,2,2,0.63,10.89,4.0,16.0
F13,2,2,0.76,11.76,3.0,18.0
