Function,Dimensions,A_i,Reliability,Speed,Range_Left,Range_Right
F10,2,0.6000000000000001,0.8,174.58,17.0,397.0
F10,2,0.7000000000000001,0.82,163.24,16.0,399.0
F10,2,0.8,0.81,174.81,3.0,400.0
F10,2,0.9,0.8,177.21,7.0,389.0
F10,2,1.0,0.77,171.16,1.0,398.0
F11,2,0.0,0.73,29.13,8.0,45.0
F11,2,0.1,0.69,29.37,7.0,44.0
F11,2,0.2,0.77,29.25,9.0,45.0
F11,2,0.30000000000000004,0.75,28.73,8.0,45.0
F11,2,0.4,0.73,27.77,7.0,45.0
F11,2,0.5,0.73,28.96,6.0,45.0
F11,2,0.6000000000000001,0.71,29.95,9.0,45.0
F11,2,0.7000000000000001,0.69,29.53,6.0,45.0
F11,2,0.8,0.72,29.02,7.0,45.0
F11,2,0.9,0.72,26.94,6.0,45.0
F11,2,1.0,0.75,28.5,9.0,45.0
F12,2,0.0,0.47,11.11,3.0,16.0
F12,2,0.1,0.4,11.84,4.0,16.0
F12,2,0.2,0.41,11.12,4.0,16.0
F12,2,0.30000000000000004,0.46,11.11,4.0,16.0
F12,2,0.4,0.38,11.48,2.0,16.0
F12,2,0.5,0.38,11.58,3.0,16.0
F12,2,0.6000000000000001,0.45,11.28,4.0,16.0
F12,2,0.7000000000000001,0.4,11.14,1.0,16.0
F12,2,0.8,0.37,11.41,2.0,16.0
F12,2,0.9,0.4,11.26,2.0,16.0
F12,2,1.0,0.45,11.34,1.0,16.0
F13,2,0.0,0.57,12.04,4.0,18.0
F13,2,0.1,0.51,12.44,1.0,18.0
F13,2,0.2,0.59,12.38,3.0,18.0
F13,2,0.30000000000000004,0.55,12.63,4.0,18.0
F13,2,0.4,0.5,12.21,3.0,18.0
F13,2,0.5,0.62,12.56,2.0,18.0
F13,2,0.6000000000000001,0.56,12.41,5.0,18.0
F13,2,0.7000000000000001,0.61,12.08,2.0,18.0
F13,2,0.8,0.56,12.09,3.0,18.0
F13,2,0.9,0.57,11.81,2.0,18.0
F13,2,1.0,0.57,12.0,1.0,18.0
