Function,Dimensions,Selection,Crossover,Mutation,Speed
F5,2,tournament_3,uniform_2,strong,10.5
F6,2,proportional,one_point,weak,43.22
F6,2,proportional,one_point,average,
F6,2,proportional,one_point,strong,
F6,2,proportional,two_point,weak,34.71
F6,2,proportional,two_point,average,11.0
F6,2,proportional,two_point,strong,50.0
F6,2,proportional,uniform_2,weak,63.0
F6,2,proportional,uniform_2,average,69.5
F6,2,proportional,uniform_2,strong,
F6,2,rank,one_point,weak,32.97
F6,2,rank,one_point,average,46.96
F6,2,rank,one_point,strong,
F6,2,rank,two_point,weak,32.54
F6,2,rank,two_point,average,48.05
F6,2,rank,two_point,strong,15.0
F6,2,rank,uniform_2,weak,36.11
F6,2,rank,uniform_2,average,55.5
F6,2,rank,uniform_2,strong,
F6,2,tournament_3,one_point,weak,20.86
F6,2,tournament_3,one_point,average,24.82
F6,2,tournament_3,one_point,strong,33.0
F6,2,tournament_3,two_point,weak,19.28
F6,2,tournament_3,two_point,average,26.84
F6,2,tournament_3,two_point,strong,34.0
F6,2,tournament_3,uniform_2,weak,21.83
F6,2,tournament_3,uniform_2,average,25.93
F6,2,tournament_3,uniform_2,strong,
F7,2,proportional,one_point,weak,36.43
F7,2,proportional,one_point,average,38.87
F7,2,proportional,one_point,strong,41.75
F7,2,proportional,two_point,weak,33.62
F7,2,proportional,two_point,average,37.55
F7,2,proportional,two_point,strong,36.52
F7,2,proportional,uniform_2,weak,33.81
F7,2,proportional,uniform_2,average,38.27
F7,2,proportional,uniform_2,strong,33.99
F7,2,rank,one_point,weak,11.6
F7,2,rank,one_point,average,27.16
F7,2,rank,one_point,strong,38.73
F7,2,rank,two_point,weak,11.88
F7,2,rank,two_point,average,24.15
F7,2,rank,two_point,strong,38.9
F7,2,rank,uniform_2,weak,9.05
F7,2,rank,uniform_2,average,25.86
F7,2,rank,uniform_2,strong,37.37
F7,2,tournament_3,one_point,weak,9.86
F7,2,tournament_3,one_point,average,20.76
F7,2,tournament_3,one_point,strong,34.82
F7,2,tournament_3,two_point,weak,6.38
F7,2,tournament_3,two_point,average,15.94
F7,2,tournament_3,two_point,strong,37.0
F7,2,tournament_3,uniform_2,weak,6.83
F7,2,tournament_3,uniform_2,average,18.88
F7,2,tournament_3,uniform_2,strong,39.61
F8,2,proportional,one_point,weak,53.36
F8,2,proportional,one_point,average,58.87
F8,2,proportional,one_point,strong,73.91
F8,2,proportional,two_point,weak,52.5
F8,2,proportional,two_point,average,63.13
F8,2,proportional,two_point,strong,28.0
F8,2,proportional,uniform_2,weak,54.18
F8,2,proportional,uniform_2,average,67.61
F8,2,proportional,uniform_2,strong,50.0
F8,2,rank,one_point,weak,31.34
F8,2,rank,one_point,average,56.28
F8,2,rank,one_point,strong,46.17
F8,2,rank,two_point,weak,28.45
F8,2,rank,two_point,average,63.13
F8,2,rank,two_point,strong,65.2
F8,2,rank,uniform_2,weak,36.14
F8,2,rank,uniform_2,average,64.05
F8,2,rank,uniform_2,strong,82.0
F8,2,tournament_3,one_point,weak,20.24
F8,2,tournament_3,one_point,average,24.57
F8,2,tournament_3,one_point,strong,15.0
F8,2,tournament_3,two_point,weak,19.19
F8,2,tournament_3,two_point,average,21.42
F8,2,tournament_3,two_point,strong,25.0
F8,2,tournament_3,uniform_2,weak,22.12
F8,2,tournament_3,uniform_2,average,30.38
F8,2,tournament_3,uniform_2,strong,50.5
F9,2,proportional,one_point,weak,19.46
F9,2,proportional,one_point,average,26.72
F9,2,proportional,one_point,strong,34.87
F9,2,proportional,two_point,weak,16.36
F9,2,proportional,two_point,average,27.67
F9,2,proportional,two_point,strong,32.77
F9,2,proportional,uniform_2,weak,9.78
F9,2,proportional,uniform_2,average,28.03
F9,2,proportional,uniform_2,strong,34.46
F9,2,rank,one_point,weak,19.73
F9,2,rank,one_point,average,34.73
F9,2,rank,one_point,strong,34.69
F9,2,rank,two_point,weak,16.95
F9,2,rank,two_point,average,39.0
F9,2,rank,two_point,strong,36.96
F9,2,rank,uniform_2,weak,17.6
F9,2,rank,uniform_2,average,36.0
F9,2,rank,uniform_2,strong,29.8
F9,2,tournament_3,one_point,weak,10.45
F9,2,tournament_3,one_point,average,21.89
F9,2,tournament_3,one_point,strong,42.1
F9,2,tournament_3,two_point,weak,10.5
F9,2,tournament_3,two_point,average,28.32
F9,2,tournament_3,two_point,strong,41.26
F9,2,tournament_3,uniform_2,weak,9.73
F9,2,tournament_3,uniform_2,average,22.2
F9,2,tournament_3,uniform_2,strong,40.46
F10,2,proportional,one_point,weak,14.0
F10,2,proportional,one_point,average,202.09
F10,2,proportional,one_point,strong,179.15
F10,2,proportional,two_point,weak,198.5
F10,2,proportional,two_point,average,114.5
F10,2,proportional,two_point,strong,170.62
F10,2,proportional,uniform_2,weak,
F10,2,proportional,uniform_2,average,179.0
F10,2,proportional,uniform_2,strong,198.64
F10,2,rank,one_point,weak,15.0
F10,2,rank,one_point,average,248.1
F10,2,rank,one_point,strong,167.62
F10,2,rank,two_point,weak,6.75
F10,2,rank,two_point,average,156.5
F10,2,rank,two_point,strong,185.98
F10,2,rank,uniform_2,weak,
F10,2,rank,uniform_2,average,4.0
F10,2,rank,uniform_2,strong,192.23
F10,2,tournament_3,one_point,weak,16.55
F10,2,tournament_3,one_point,average,125.14
F10,2,tournament_3,one_point,strong,193.44
F10,2,tournament_3,two_point,weak,15.0
F10,2,tournament_3,two_point,average,93.4
F10,2,tournament_3,two_point,strong,196.28
F10,2,tournament_3,uniform_2,weak,3.0
F10,2,tournament_3,uniform_2,average,11.0
F10,2,tournament_3,uniform_2,strong,159.89
F11,2,proportional,one_point,weak,24.22
F11,2,proportional,one_point,average,25.75
