Function,Reliability,Avg_Speed,Pop_Size,Iters
Func1,0.39,6.692,10,10
Func2,0.31,8.548,22,22
Func3,0.63,16.413,22,22
Func4,0.6,13.4,19,19
Func5,0.87,21.368,31,31
Func6,0.23,24.435,37,37
Func7,0.11,11.909,88,88
Func8,0.51,23.294,44,44
Func9,0.07,28.0,126,126
Func10,0.08,267.25,772,772
Func11,0.62,20.258,31,31
Func12,0.52,11.673,16,16
Func13,0.54,11.167,16,16
