Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
tour3 | up2,0.01,0.01,0.13,0.13,0.12,0.04,0.08,0.04,0.08,0.27,0.41,0.34,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
tour3 | up7,0.0,0.01,0.1,0.07,0.09,0.01,0.1,0.08,0.07,0.24,0.42,0.32,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796
tour3 | ur2,0.05,0.01,0.23,0.13,0.13,0.01,0.09,0.04,0.13,0.23,0.33,0.35,0.01,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924
tour3 | ur7,0.09,0.02,0.12,0.11,0.11,0.05,0.08,0.07,0.02,0.15,0.3,0.27,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684
tour3 | ut3,0.09,0.0,0.19,0.06,0.06,0.04,0.2,0.1,0.11,0.33,0.32,0.33,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868
tour3 | ut7,0.0,0.0,0.22,0.1,0.11,0.0,0.16,0.15,0.13,0.3,0.3,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439999999999999
tour5 | empty,0.37,0.07,0.74,0.85,0.83,0.09,0.75,0.51,0.68,0.18,0.23,0.56,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24439999999999998
tour5 | one,0.36,0.08,0.28,0.66,0.57,0.03,0.07,0.08,0.01,0.11,0.21,0.32,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11399999999999996
tour5 | two,0.35,0.03,0.29,0.61,0.51,0.01,0.02,0.05,0.07,0.09,0.18,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008
tour5 | unif2,0.31,0.07,0.29,0.41,0.35,0.01,0.04,0.07,0.07,0.07,0.19,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868
tour5 | unif7,0.34,0.08,0.16,0.21,0.15,0.0,0.03,0.08,0.04,0.11,0.16,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06480000000000001
tour5 | up2,0.36,0.06,0.21,0.49,0.47,0.01,0.05,0.04,0.07,0.09,0.18,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912
tour5 | up7,0.27,0.08,0.12,0.27,0.31,0.0,0.01,0.05,0.01,0.03,0.13,0.29,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520000000000001
tour5 | ur2,0.4,0.04,0.33,0.48,0.47,0.0,0.04,0.06,0.09,0.12,0.18,0.32,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056
